Precinct,Cast,Registered,US Senate,Heller [R],Rosen [D],None,Total,US Representative,Amodei [R],Koble [D],None,Total,Governor,Laxalt [R],Sisolak [D],None,Total,Lt. Governor,Marshall [D],Roberson [R],None,Total,Sec of State,Araijo [D],Cagavske [R],None,Total,State Treasurer,Beers [R],Cornine [D],None,Total,State Controller,Byrne [D],Knect [R],None,Total,Attorney General,Duncan [R],Ford [D],None,Total,State Senate 13,Ratti [D],Young [IAP],None,Total,State Senate 14,Boszak [D],Hansen [R],None,Total,State Senate 16,Davis-Hersey [D],Kieckhefer [R],None,Total,State Assembly 24,Peters [D],Unopposed ,None,Total,State Assembly 25,Shorts [D],Tolles [R],None,Total,State Assembly 26,Joseph [D],Krasner [R],None,Total,State Assembly 27,Benitez-Thompson [D],Unopposed ,None,Total,State Assembly 30,Sprinkle [D],Unopposed,None,Total,State Assembly 31,Daly [D],Dickman [R],None,Total,State Assembly 32,Hansen [R],Povilaitis [D],None,Total,State Assembly 40,Kramer [R],Zemke [D],None,Total,County Commission 2,Lucey [R],Wolgast [D],None,Total,County Commission 3,Johnson [R],Jung [D],None,Total,County Commission 5,Herman [R],Judd [D],None,Total,County Assessor,Clark [R],Evans [D],None,Total,County Clerk,Parent [R],Tudorache [D],None,Total,District Attorney,Hicks [R],Unopposed,None,Total,Public Administrator,Cavallo [R],Prothro [D],None,Total,County Recorder,Burtness [R},Work [D],None,Total,County Treasurer,Buehler [D],Davis [R],None,Total,County Sheriff,Balaam [R],Nowe [D],None,Total,School Board B,Minetto [NP],Vanderwell [NP],None,Total,School Board C,Caudill [R],Feenster [NP],None,Total,School Board F,Calvert [NP],Church [NP},None,Total,Reno Mayor,Lorton [R],Shieve [D],None,Total,Reno City Council Ward 2,Duerr [D],Lawrence [R],None,Total,Reno City Council Ward 4,Mckenzie [D],Weber [R],None,Total,Reno City Attorney,Hall [R],Kadlik [D],None,Total,,,,,
100000,482,583,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,, , , , 
100200,587,974,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
100300,"1,051","1,471",,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
100500,0,0,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
100600,288,354,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
100700,"1,069","1,278",,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
100800,276,388,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
101000,"1,075","1,289",,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
101100,567,"1,307",,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
101200,294,420,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,,
